Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      898    0.001    0.000    0.365    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1473(resolve_value_type)
    21184    0.019    0.000    0.364    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\win32.py:115(<genexpr>)
    58533    0.054    0.000    0.360    0.000 <__array_function__ internals>:177(append)
    10592    0.340    0.000    0.344    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\win32.py:108(_winapi_test)
    87925    0.080    0.000    0.341    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:1345(searchsorted)
      117    0.002    0.000    0.335    0.003 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\postproc.py:71(run)
164272/24845    0.231    0.000    0.331    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:317(_rec_list_vars)
       13    0.000    0.000    0.329    0.025 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:412(__init__)
7726/3471    0.008    0.000    0.327    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\cache.py:67(wrapper)
    68898    0.078    0.000    0.324    0.000 <__array_function__ internals>:177(nonzero)
   312/67    0.001    0.000    0.317    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:261(refresh)
  236/181    0.001    0.000    0.314    0.002 <frozen importlib._bootstrap>:1167(_find_and_load)
   100/45    0.001    0.000    0.313    0.007 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    98/45    0.001    0.000    0.303    0.007 <frozen importlib._bootstrap>:666(_load_unlocked)
   243/57    0.000    0.000    0.301    0.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    98/45    0.000    0.000    0.300    0.007 <frozen importlib._bootstrap_external>:934(exec_module)
       14    0.000    0.000    0.286    0.020 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
1377668/1377153    0.229    0.000    0.285    0.000 {built-in method builtins.isinstance}
    20209    0.010    0.000    0.281    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:350(list_vars)
     1690    0.017    0.000    0.268    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:97(generic)
  867/542    0.003    0.000    0.266    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\functools.py:981(__get__)
    38688    0.125    0.000    0.263    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:93(_clip_dep_is_scalar_nan)
    58533    0.051    0.000    0.262    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\lib\function_base.py:5444(append)
     1500    0.005    0.000    0.261    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:201(generic)
      312    0.005    0.000    0.259    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cpu.py:60(load_additional_registries)
  307/255    0.004    0.000    0.243    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\operations.py:52(__new__)
      130    0.029    0.000    0.242    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
    58849    0.051    0.000    0.241    0.000 <__array_function__ internals>:177(concatenate)
      376    0.001    0.000    0.240    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\pprint.py:57(pformat)
       23    0.000    0.000    0.239    0.010 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:723(add_ir_module)
      376    0.001    0.000    0.238    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\pprint.py:156(pformat)
 9725/376    0.019    0.000    0.236    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\pprint.py:168(_format)
      297    0.001    0.000    0.234    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:607(generic)
   422488    0.233    0.000    0.233    0.000 {built-in method numpy.asarray}
       14    0.000    0.000    0.232    0.017 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:996(_finalize_specific)
      297    0.001    0.000    0.231    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:698(_get_impl)
    68581    0.057    0.000    0.223    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:198(reshape)
       13    0.000    0.000    0.221    0.017 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:29(__init__)
    19344    0.025    0.000    0.221    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\interpolate\_polyint.py:89(_prepare_x)
  522/255    0.001    0.000    0.219    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\decorators.py:99(binary_op_wrapper)
